Division,Gender,Age Group,Category,Product types,Article Number,Article Name,Color,Image,EAN,UPC,Size, WHS , MSRP ,Currency,Inventory, Offer Price 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991249,196479131670,6, 88.0 , 160.0 ,USD,0, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991225,196479131656,6-, 88.0 , 160.0 ,USD,0, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892992024,196479131748,7, 88.0 , 160.0 ,USD,5, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991218,196479131649,7-, 88.0 , 160.0 ,USD,7, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991287,196479131717,8, 88.0 , 160.0 ,USD,19, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892992062,196479135395,8-, 88.0 , 160.0 ,USD,13, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991195,196479131625,9, 88.0 , 160.0 ,USD,5, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991270,196479131700,9-, 88.0 , 160.0 ,USD,4, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892992079,196479135371,10, 88.0 , 160.0 ,USD,0, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892992055,196479131762,10-, 88.0 , 160.0 ,USD,13, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892992048,196479131724,11, 88.0 , 160.0 ,USD,8, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991263,196479131694,11-, 88.0 , 160.0 ,USD,7, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991256,196479131687,12, 88.0 , 160.0 ,USD,18, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892992017,196479131731,12-, 88.0 , 160.0 ,USD,1, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991232,196479131663,13, 88.0 , 160.0 ,USD,17, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892992031,196479131755,14, 88.0 , 160.0 ,USD,3, $70.84 
Footwear,Mens,Adult,Trail Running,Shoes - Low (No-Fb),JI0954,TERREX AGRAVIC SPEED DSHGRY/IMPORA/FTWWHT,,,4067892991201,196479131632,15, 88.0 , 160.0 ,USD,0, $70.84 
Accessories,Unisex,Adult,Hiking,Beanie,JX1267,MT BEANIE SEFLAQ,,,4068808215152,197625983884,OSFW, 13.0 , 26.0 ,USD,0, $10.47 
Accessories,Unisex,Adult,Hiking,Beanie,JX1267,MT BEANIE SEFLAQ,,,4068808215145,197625983877,OSFM, 13.0 , 26.0 ,USD,41, $10.47 
Accessories,Unisex,Adult,Hiking,Beanie,JX1267,MT BEANIE SEFLAQ,,,4068808215138,197625983860,OSFL, 13.0 , 26.0 ,USD,0, $10.47 
Apparel,Womens,Junior,Originals,Pants (1/1),JD1664,WIDE PANTS SEPISP,,,4067891257209,197613036196,XS, 20.0 , 40.0 ,USD,0, $16.10 
Apparel,Womens,Junior,Originals,Pants (1/1),JD1664,WIDE PANTS SEPISP,,,4067891257162,197613036189,S, 20.0 , 40.0 ,USD,248, $16.10 
Apparel,Womens,Junior,Originals,Pants (1/1),JD1664,WIDE PANTS SEPISP,,,4067891257100,197613032464,M, 20.0 , 40.0 ,USD,298, $16.10 
Apparel,Womens,Junior,Originals,Pants (1/1),JD1664,WIDE PANTS SEPISP,,,4067891260148,197613036257,L, 20.0 , 40.0 ,USD,232, $16.10 
Apparel,Womens,Junior,Originals,Pants (1/1),JD1664,WIDE PANTS SEPISP,,,4067891257216,197613036202,XL, 20.0 , 40.0 ,USD,144, $16.10 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901838091,196476574890,XS/P, 50.0 , 100.0 ,USD,0, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901838022,196476574821,S/P, 50.0 , 100.0 ,USD,0, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901838046,196476574845,M/P, 50.0 , 100.0 ,USD,0, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901834260,196476571066,L/P, 50.0 , 100.0 ,USD,0, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901837964,196476571165,XL/P, 50.0 , 100.0 ,USD,0, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901834246,196476571035,XS, 50.0 , 100.0 ,USD,63, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901837926,196476571127,S, 50.0 , 100.0 ,USD,66, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901838039,196476574838,M, 50.0 , 100.0 ,USD,122, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901838077,196476574869,L, 50.0 , 100.0 ,USD,0, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901834253,196476571059,XL, 50.0 , 100.0 ,USD,15, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901834307,196476571103,ST, 50.0 , 100.0 ,USD,0, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901838008,196476571219,MT, 50.0 , 100.0 ,USD,0, $40.25 
Apparel,Womens,Adult,Hiking,Pants (1/1),JF3699,W CARGO PANTS BLACK,Black,,4067901837919,196476571110,LT, 50.0 , 100.0 ,USD,0, $40.25 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347895,195748389293,5, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749344177,195748389170,5-, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347840,195748389248,6, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749344184,195748389187,6-, 71.5 , 130.0 ,USD,2, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347857,195748389255,7, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347864,195748389262,7-, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347871,195748389279,8, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347833,195748389200,8-, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749344191,195748389194,9, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347888,195748389286,9-, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347802,195748389217,10, 71.5 , 130.0 ,USD,0, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347826,195748389231,10-, 71.5 , 130.0 ,USD,1, $57.56 
Footwear,Womens,Adult,Bike,Shoes - Low (No-Fb),HQ2117,SLEUTH DLX CANVAS W QUICRI/FTWWHT/CBLACK,,,4066749347819,195748389224,11, 71.5 , 130.0 ,USD,2, $57.56 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904404231,197615104626,2XS, 25.0 , 50.0 ,USD,0, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904400615,197615104596,XS, 25.0 , 50.0 ,USD,73, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904404248,197615104633,S, 25.0 , 50.0 ,USD,258, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904400516,197615100895,M, 25.0 , 50.0 ,USD,245, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904404279,197615104657,L, 25.0 , 50.0 ,USD,88, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904400493,197615100871,XL, 25.0 , 50.0 ,USD,53, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904400479,197615100857,2XL, 25.0 , 50.0 ,USD,0, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904404262,197615104619,3XL, 25.0 , 50.0 ,USD,0, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904400509,197615100888,4XL, 25.0 , 50.0 ,USD,0, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904400561,197615104534,ST, 25.0 , 50.0 ,USD,0, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904400592,197615104572,MT, 25.0 , 50.0 ,USD,0, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904404309,197615104688,LT, 25.0 , 50.0 ,USD,0, $20.13 
Apparel,Womens,Adult,Basketball,Shorts (1/2),JP2449,CRAZYLITE SHORT TMPWRD,Red,,4067904404293,197615104671,XLT, 25.0 , 50.0 ,USD,0, $20.13 
